Designator,Comment,Footprint,嘉立创元件编号
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C23, C24, C25, C26, C27",100n,C_0603,
"C19, C20",10u,C_0603,
"C21, C22",18p,C_0603,
"D2, D4",LED_GREEN,LED_0603,C72043
"D5, D6, D7",BV05C,D_SOD-323,
J1,Conn_01x04,library:Molex_CLIK-Mate_502386-0470_1x04-1MP_P1.25mm_Horizontal,C3029361
"J2, J3",Conn_01x03,library:JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,C2829252
"J4, J5",Conn_01x02,library:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,C2829251
Q1,S8050,SOT-23,
"R1, R6",0,R_0603,
"R2, R7",10K,R_0603,
"R3, R4, R8, R9, R13",1K,R_0603,
"R5, R10",120,R_0603,
R11,4.7K,R_0603,
R12,47K,R_0603,
"U1, U4",STM32F072C8T6,LQFP-48_7x7mm_P0.5mm,C80488
"U2, U5",TJA1051T/3,SOIC-8_3.9x4.9mm_P1.27mm,
U3,HX9193,SOT-23-5,
U6,SL2.1S,SL2.1S-SSOP-16,
"U7, U8",CH340E,MSOP-10_3x3mm_P0.5mm,
Y1,12M,Crystal_SMD_3225-4Pin_3.2x2.5mm,C254355
"D1,D3",LED_BLUE,LED_0603,C72041
D8,LED_RED,LED_0603,C2286
